Order,Ambler class,Protein name,Alternative protein names,Subfamily,GenPeptID,GenBankID,PubMedID (DOI),Sequence,Number of PDB structures,Mutants,Phenotype,Functional information,Natural (N) or Acquired (A)
2713,B3,GOB-10,,GOB-5-like,AAT68577,AY647247,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2714,B3,GOB-11,,GOB-11-like,AAT68578,AY647248,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2715,B3,GOB-12,,GOB-12-like,AAT68579,AY647249,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2716,B3,GOB-13,,GOB-11-like,AAT68580,AY647250,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2717,B3,GOB-14,,GOB-11-like,AAT68582,AY647252,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2718,B3,GOB-15,,GOB-11-like,AAV65595,AY775547,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2719,B3,GOB-16,,GOB-16-like,AAW82618,AY899331,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2720,B3,GOB-17,,GOB-16-like,AAW82619,AY899332,20571954 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2721,B3,GOB-18,,GOB-1-like,AAY53478,DQ004496,20571954 (DOI),view,1,1,,,N (Elizabethkingia meningoseptica)
2722,B3,GOB-19,,GOB-11-like,PSL87831,PYAO01000014,31840164 (DOI),view,,,,,N (Elizabethkingia miricola)
2723,B3,GOB-20,,GOB-5-like,EHM96980,AHHG01000028,,view,,,,,N (Elizabethkingia anophelis Ag1)
2724,B3,GOB-21,,GOB-3-like,CDN76639,CCAC010000001,,view,,,,,N (Elizabethkingia anophelis Po0527107)
2725,B3,GOB-22,,GOB-16-like,KUY17880,LNOH01000015,,view,,,,,N (Elizabethkingia meningoseptica KC1913)
2726,B3,GOB-23,,GOB-11-like,OPB86566,MAGX01000005,,view,,,,,N (Elizabethkingia miricola CSID_3000517120)
2727,B3,GOB-24,,GOB-1-like,PKR31834,PJMA01000002,,view,,,,,N (Elizabethkingia anophelis OSUVM1)
2728,B3,GOB-25,,GOB-11-like,AZZ89481,MK360038,,view,,,,,N (Elizabethkingia miricola)
2729,B3,GOB-26,,GOB-11-like,OPC53136,MAHR01000046,,view,,,,,N (Elizabethkingia anophelis CSID_3015183686)
2730,B3,GOB-27,,GOB-16-like,ODM55102,MCJH01000002,,view,,,,,N (Elizabethkingia meningoseptica EM1)
2731,B3,GOB-28,,GOB-1-like,WP_087093762,NG_068171,,view,,,,,N (Elizabethkingia anophelis)
2732,B3,GOB-29,,GOB-7-like,OPC58414,MAHQ01000004,,view,,,,,N (Elizabethkingia genomosp. 3 CSID_3015183685)
2733,B3,GOB-30,,GOB-1-like,OPC31639,MAHJ01000011,,view,,,,,N (Elizabethkingia endophytica CSID_3000516978)
2734,B3,GOB-31,,GOB-7-like,ATL43707,CP023746,,view,,,,,N (Elizabethkingia miricola)
2735,B3,GOB-32,,GOB-11-like,OBS13266,LSGQ01000007,,view,,,,,N (Elizabethkingia miricola GTC_862)
2736,B3,GOB-33,,GOB-33-like,OPB87696,MBDR01000030,,view,,,,,N (Elizabethkingia sp. F8124)
2737,B3,GOB-34,,GOB-33-like,PTW00275,QAXV01000011,,view,,,,,N (Elizabethkingia sp. YR191)
2738,B3,GOB-35,,GOB-33-like,OPB87097,MBDS01000017,,view,,,,,N (Elizabethkingia sp. C1558)
2739,B3,GOB-36,,GOB-33-like,OPC00210,MAHB01000012,,view,,,,,N (Elizabethkingia genomosp. 4 CSID_3000516135)
2740,B3,GOB-37,,GOB-33-like,KUY31169,LNOK01000005,,view,,,,,N (Elizabethkingia genomosp. 4 G4122)
2741,B3,GOB-38,,GOB-5-like,KUF38494,LPXG01000081,39747310 (DOI),view,,,,,N (Elizabethkingia anophelis 12012-2 PRCM)
2742,B3,GOB-39,,GOB-3-like,WP_031257659,NZ_AVCQ01000016,,view,,,,,N (Elizabethkingia anophelis 502)
2743,B3,GOB-40,,GOB-1-like,KFC39494,JNCG01000003,,view,,,,,N (Elizabethkingia anophelis)
2744,B3,GOB-41,,GOB-1-like,AQX00582,CP016374,,view,,,,,N (Elizabethkingia endophytica F3201)
2745,B3,GOB-42,,GOB-3-like,WP_047034183,NG_068008,,view,,,,,N (Elizabethkingia anophelis FMS-007)
2746,B3,GOB-43,,GOB-1-like,AQW94650,CP016372,,view,,,,,N (Elizabethkingia endophytica JM-87)
2747,B3,GOB-44,,GOB-16-like,OPB96947,MAGZ01000015,,view,,,,,N (Elizabethkingia meningoseptica CSID_3000515919)
2748,B3,GOB-45,,GOB-1-like,WP_102793805,NG_068172,,view,,,,,N (Elizabethkingia anophelis)
2749,B3,GOB-46,,GOB-16-like,OPC20552,MAHF01000015,,view,,,,,N (Elizabethkingia meningoseptica CSID_3000516535)
2750,B3,GOB-47,,GOB-16-like,MVW92531,SYWC01000004,,view,,,,,N (Elizabethkingia meningoseptica)
2751,B3,GOB-48,,GOB-3-like,OPC55556,MAHP01000002,,view,,,,,N (Elizabethkingia anophelis)
2752,B3,GOB-49,,GOB-7-like,AJW64902,CP011059,,view,,,,,N (Elizabethkingia miricola BM10)
2753,B3,GOB-50,,GOB-5-like,MYY29047,RSAW01000005,,view,,,,,N (Elizabethkingia anophelis)
2754,B3,GOB-51,,GOB-33-like,AQX08083,CP016377,,view,,,,,N (Elizabethkingia genomosp. 4 G4123)
2755,B3,GOB-52,,GOB-3-like,BBQ04269,LC511769,,view,,,,,N (Elizabethkingia anophelis)
2756,B3,GOB-53,,GOB-1-like,UTS94243,ON651490,,view,,,,,N (Elizabethkingia anophelis)
2757,B3,GOB-T1*,,GOB-3-like,OPC41675,MAHO01000023,,view,,,,,N (Elizabethkingia anophelis CSID_3015183679)
2758,B3,GOB-T2*,,GOB-33-like,OPC67509,MAHX01000007,,view,,,,,N (Elizabethkingia sp. G4070)
2759,B3,GOB-T3*,,GOB-11-like,OPC09893,MAHD01000010,,view,,,,,N (Elizabethkingia miricola CSID_3000516464)
2760,B3,GOB-T4*,,GOB-5-like,WP_086983981,NZ_FTQZ01000025,,view,,,,,N (Elizabethkingia anophelis)
2761,B3,GOB-T5*,,GOB-3-like,ABO21417,EF394442,,view,,,,,N (Elizabethkingia meningoseptica)
2762,B3,GOB-P1,,GOB-1-like,AAF89152,AF189296,10858348 (DOI),view,,,,,N (Elizabethkingia meningoseptica)
2763,B3,GRD33-1,,,APR64492,KU167042,28082950 (DOI),view,,,,carbapenemase,N (uncultured bacterium)
2764,B3,L1-1,,,CAA52968,X75074,8018721 (DOI),view,32,,3a,,N (Stenotrophomonas maltophilia IID1275)
2765,B3,L1-2,,,AAC21590,AF010282,9593158 (DOI),view,,,3a,,N (Stenotrophomonas maltophilia)
2766,B3,L1-3,L1c,,CAB63488,AJ251814,11158734 (DOI),view,,,3a,,N (Stenotrophomonas maltophilia K279a)
2767,B3,L1-4,L1d,,CAB63489,AJ251815,11158734 (DOI),view,,,3a,,N (Stenotrophomonas maltophilia)
2768,B3,L1-5,L1e,,CAB75346,AJ272109,11158734 (DOI),view,,,3a,,N (Stenotrophomonas maltophilia)
2769,B3,L1-6,,,ABO60992,EF126057,—(—),view,,,3a,,N (Stenotrophomonas maltophilia I1)
2770,B3,L1-7,,,ABO60984,EF126049,,view,,,,,N (Stenotrophomonas maltophilia)
2771,B3,L1-8,,,ABO60985,EF126050,,view,,,,,N (Stenotrophomonas maltophilia)
2772,B3,L1-9,,,ABO60988,EF126053,,view,,,,,N (Stenotrophomonas maltophilia)
2773,B3,L1-10,,,ABO60989,EF126054,,view,,,,,N (Stenotrophomonas maltophilia)
2774,B3,L1-11,,,ABO60991,EF126056,,view,,,,,N (Stenotrophomonas maltophilia)
2775,B3,L1-12,,,ABO60993,EF126058,,view,,,,,N (Stenotrophomonas maltophilia)
2776,B3,L1-13,,,ABO60994,EF126059,,view,,,,,N (Stenotrophomonas maltophilia)
2777,B3,L1-14,,,ABO60995,EF126060,,view,,,,,N (Stenotrophomonas maltophilia)
2778,B3,L1-15,,,ABO60998,EF126063,,view,,,,,N (Stenotrophomonas maltophilia)
2779,B3,L1-16,,,ABO61000,EF126065,,view,,,,,N (Stenotrophomonas maltophilia)
2780,B3,L1-17,,,ABW87257,EF601224,,view,,,,,N (Stenotrophomonas maltophilia)
2781,B3,L1-18,,,BAF47404,AB294542,,view,,,,,N (Stenotrophomonas maltophilia)
2782,B3,L1-19,,,CAC15063,AJ291672,,view,,,,,N (Stenotrophomonas maltophilia)
2783,B3,L1-20,,,BAF47409,AB294547,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia GN12873)
2784,B3,L1-21,,,QCX19969,MK871699,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G1)
2785,B3,L1-22,,,QCX19970,MK871700,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G2)
2786,B3,L1-23,,,QCX19983,MK871713,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_I2)
2787,B3,L1-24,,,QCX19973,MK871703,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G5)
2788,B3,L1-25,,,QCX19974,MK871704,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G8)
2789,B3,L1-26,,,WP_049437465,NZ_JVGN01000027,,view,,,,,N (Stenotrophomonas maltophilia 453_SMAL)
2790,B3,L1-27,,,KPG80028,LJJH01000102,,view,,,,,N (Stenotrophomonas maltophilia OC194)
2791,B3,L1-28,,,WP_043396102,NZ_JSXG01000004,,view,,,,,N (Stenotrophomonas maltophilia B418)
2792,B3,L1-29,,,KOF00112,AJLO02000015,,view,,,,,N (Stenotrophomonas geniculata N1)
2793,B3,L1-30,,,WP_049409560,NZ_JVDZ01000045,,view,,,,,N (Stenotrophomonas maltophilia 517_SMAL)
2794,B3,L1-31,,,WP_049455148,NZ_JVRD01000056,,view,,,,,N (Stenotrophomonas maltophilia 179_SMAL)
2795,B3,L1-32,,,WP_049481046,NZ_JVPM01000019,,view,,,,,N (Stenotrophomonas maltophilia 22_SMAL)
2796,B3,L1-33,,,ALA90741,CP011306,,view,,,,,N (Stenotrophomonas maltophilia ISMMS2R)
2797,B3,L1-34,,,WP_019337222,NZ_AGRB01000083,,view,,,,,N (Stenotrophomonas maltophilia RR-10)
2798,B3,L1-35,,,WP_049410916,NZ_JVXD01000136,,view,,,,,N (Stenotrophomonas maltophilia 1247_SMAL)
2799,B3,L1-36,,,WP_049439863,NZ_JVWJ01000238,,view,,,,,N (Stenotrophomonas maltophilia 1265_SMAL)
2800,B3,L1-37,,,WP_049448076,NZ_JUZC01000226,,view,,,,,N (Stenotrophomonas maltophilia 638_SMAL)
2801,B3,L1-38,,,KRG52092,LLXW01000144,,view,,,,,N (Stenotrophomonas maltophilia LMG 22072)
2802,B3,L1-39,,,ABO60986,EF126051,,view,,,,,N (Stenotrophomonas maltophilia)
2803,B3,L1-40,,,AEO22133,JF705926,,view,,,,,N (Stenotrophomonas maltophilia KJd)
2804,B3,L1-41,,,ABC02083,DQ296193,,view,,,,,N (Stenotrophomonas maltophilia 710)
2805,B3,L1-42,,,WP_049450924,NZ_JVWW01000072,,view,,,,,N (Stenotrophomonas maltophilia 1253_SMAL)
2806,B3,L1-43,,,WP_049427757,NZ_JVNZ01000141,,view,,,,,N (Stenotrophomonas maltophilia 259_SMAL)
2807,B3,L1-44,,,AIL06013,CP008838,,view,25,,,,N (Stenotrophomonas maltophilia 13637)
2808,B3,L1-45,,,KOO75275,JZIU01000001,,view,,,,,N (Stenotrophomonas maltophilia ISMMS4)
2809,B3,L1-46,,,WP_049403426,NZ_JVKB01000083,,view,,,,,N (Stenotrophomonas maltophilia 363_SMAL)
2810,B3,L1-47,,,OWQ57702,NIVT01000071,,view,,,,,N (Stenotrophomonas maltophilia 163919)
2811,B3,L1-48,,,EED40420,DS999412,,view,,,,,N (Stenotrophomonas sp. SKA14)
2812,B3,L1-49,,,ALA84606,CP011010,,view,,,,,N (Stenotrophomonas maltophilia ISMMS3)
2813,B3,L1-50,,,KRG52511,LLXV01000014,,view,,,,,N (Stenotrophomonas maltophilia LMG 978)
2814,B3,L1-51,,,WP_049457130,NZ_JUQF01000112,,view,,,,,N (Stenotrophomonas maltophilia 860_SMAL)
2815,B3,L1-52,,,KOQ76460,LDVS01000013,,view,,,,,N (Stenotrophomonas maltophilia B5)
2816,B3,L1-53,,,WP_075678165,NZ_MOYM01000003,,view,,,,,N (Stenotrophomonas sp. TD3)
2817,B3,L1-54,,,KMU64567,LFKU01000024,,view,,,,,N (Stenotrophomonas maltophilia As1)
2818,B3,L1-55,,,AEM51514,CP002986,,view,,,,,N (Stenotrophomonas maltophilia JV3)
2819,B3,L1-56,,,KGM22906,JRJA01000047,,view,,,,,N (Stenotrophomonas maltophilia 53)
2820,B3,L1-57,,,OHY59404,MJAS01000074,,view,,,,,N (Stenotrophomonas maltophilia R5G)
2821,B3,L1-58,,,WP_049462644,NZ_JUMG01000042,,view,,,,,N (Stenotrophomonas maltophilia 952_SMAL)
2822,B3,L1-59,,,OCK47823,MANU01000012,,view,,,,,N (Stenotrophomonas maltophilia SBo1)
2823,B3,L1-60,,,ARQ90142,CP015612,,view,,,,,N (Stenotrophomonas maltophilia OUC_Est10)
2824,B3,L1-61,,,WP_049422182,NZ_JVUI01000038,,view,,,,,N (Stenotrophomonas maltophilia 131_SMAL)
2825,B3,L1-62,,,ACF51850,CP001111,,view,,,,,N (Stenotrophomonas maltophilia R551-3)
2826,B3,L1-63,,,KRG45788,LLXT01000085,,view,,,,,N (Stenotrophomonas geniculata ATCC 19374 = JCM 13324)
2827,B3,L1-64,,,WP_049401445,NZ_JUPB01000115,,view,,,,,N (Stenotrophomonas maltophilia 892_SMAL)
2828,B3,L1-65,,,KXU92521,LEKR01000044,,view,,,,,N (Stenotrophomonas sp. DDT-1)
2829,B3,L1-66,,,OBU68355,LYVJ01000004,,view,,,,,N (Stenotrophomonas maltophilia Sm46PAILV)
2830,B3,L1-67,,,KOQ74615,LDVT01000069,,view,,,,,N (Stenotrophomonas maltophilia C11)
2831,B3,L1-68,,,KOO75554,JZIW01000009,,view,,,,,N (Stenotrophomonas maltophilia ISMMS6)
2832,B3,L1-69,,,KOO79208,JZTX01000001,,view,,,,,N (Stenotrophomonas maltophilia ISMMS7)
2833,B3,L1-70,,,KRG82376,LDJN01000006,,view,,,,,N (Stenotrophomonas pavanii DSM 25135)
2834,B3,L1-71,,,ABO61003,EF126068,,view,,,,,N (Stenotrophomonas maltophilia)
2835,B3,L1-72,,,AEO22137,JF705930,,view,,,,,N (Stenotrophomonas maltophilia KSb)
2836,B3,L1-73,,,SDK03595,FNFQ01000002,,view,,,,,N (Stenotrophomonas pavanii LMG 25348)
2837,B3,L1-74,,,OWR26572,NIXP01000153,,view,,,,,N (Stenotrophomonas pavanii S18795)
2838,B3,L1-75,,,CRD64540,CVIW01000056,,view,,,,,N (Stenotrophomonas maltophilia)
2839,B3,L1-76,,,WP_019659811,NZ_KB907499,,view,,,,,N (Stenotrophomonas maltophilia ATCC 19867)
2840,B3,L1-77,,,EQM86953,ATAP01000035,,view,,,,,N (Stenotrophomonas maltophilia MF89)
2841,B3,L1-78,,,ABO60999,EF126064,,view,,,,,N (Stenotrophomonas maltophilia)
2842,B3,L1-79,,,AEO22136,JF705929,,view,,,,,N (Stenotrophomonas maltophilia KSa)
2843,B3,L1-80,,,WP_069116642,NZ_LIAJ01000001,,view,,,,,N (Stenotrophomonas maltophilia UENF-26GIII)
2844,B3,L1-81,,,KZE44965,LQQS01000129,,view,,,,,N (Stenotrophomonas maltophilia F2)
2845,B3,L1-82,,,KDE88026,JELS02000193,,view,,,,,N (Stenotrophomonas maltophilia M30)
2846,B3,L1-83,,,KLN99952,LDAV01000257,,view,,,,,N (Stenotrophomonas maltophilia SAM8)
2847,B3,L1-84,,,WP_049439561,NZ_JVGS01000007,,view,,,,,N (Stenotrophomonas maltophilia 447_SMAL)
2848,B3,L1-85,,,KOQ62708,LDVP01000039,,view,,,,,N (Stenotrophomonas maltophilia A2)
2849,B3,L1-86,,,KOO70715,JZIV01000018,,view,,,,,N (Stenotrophomonas maltophilia ISMMS5)
2850,B3,L1-87,,,WP_071305283,NZ_MLJK01000001,,view,,,,,N (Stenotrophomonas maltophilia DT1)
2851,B3,L1-88,,,WP_041863491,NC_017671,,view,,,,,N (Stenotrophomonas maltophilia D457)
2852,B3,L1-89,,,PNY74224,PPHR01000005,,view,,,,,N (Stenotrophomonas pavanii BWK1)
2853,B3,L1-90,,,OFU97054,LUAA01000082,,view,,,,,N (Stenotrophomonas sp. HMSC10F07)
2854,B3,L1-91,,,KOQ64679,LDVQ01000034,,view,,,,,N (Stenotrophomonas maltophilia B1)
2855,B3,L1-92,,,OBU54943,LZPC01000003,,view,,,,,N (Stenotrophomonas maltophilia SmSOFb1)
2856,B3,L1-93,,,EMI50118,APIT01000045,,view,,,,,N (Stenotrophomonas maltophilia AU12-09)
2857,B3,L1-94,,,CRX69998,CWHS01000020,,view,,,,,N (Stenotrophomonas maltophilia)
2858,B3,L1-95,,,QCX19946,MK871676,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_A2)
2859,B3,L1-96,,,QCX20000,MK871730,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_E7)
2860,B3,L1-97,,,QCX19948,MK871678,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_A6)
2861,B3,L1-98,,,QCX19949,MK871679,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_A7)
2862,B3,L1-99,,,QCX19950,MK871680,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_A8)
2863,B3,L1-100,,,QCX19951,MK871681,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_A9)
2864,B3,L1-101,,,QCX19998,MK871728,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_D5)
2865,B3,L1-102,,,QCX19953,MK871683,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_B3)
2866,B3,L1-103,,,QCX19954,MK871684,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_B5)
2867,B3,L1-104,,,QCX19956,MK871686,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_B9)
2868,B3,L1-105,,,QCX19957,MK871687,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_C3)
2869,B3,L1-106,,,QCX19958,MK871688,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_C4)
2870,B3,L1-107,,,QCX19959,MK871689,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_C5)
2871,B3,L1-108,,,QCX19960,MK871690,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_D7)
2872,B3,L1-109,,,QCX19961,MK871691,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_D9)
2873,B3,L1-110,,,QCX19962,MK871692,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_E1)
2874,B3,L1-111,,,QCX19963,MK871693,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_E2)
2875,B3,L1-112,,,QCX19989,MK871719,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_A2)
2876,B3,L1-113,,,QCX19985,MK871715,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_I5)
2877,B3,L1-P1,,,QCX19964,MK871694,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_E3)
2878,B3,L1-P3,,,QCX19972,MK871702,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G4)
2879,B3,L1-P4,,,QCX19975,MK871705,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_G9)
2880,B3,L1-P6,,,QCX19981,MK871711,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_H9)
2881,B3,L1-P7,,,QCX19982,MK871712,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_I1)
2882,B3,L1-P8,,,QCX19984,MK871714,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 167_I3)
2883,B3,L1-P9,,,QCX19992,MK871722,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_B2)
2884,B3,L1-P10,,,QCX19994,MK871724,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_C6)
2885,B3,L1-P11,,,QCX19996,MK871726,31266860 (DOI),view,,,,,N (Stenotrophomonas maltophilia 168_D2)
2886,B3,LMB-1,,,AMK49163,KU646836,29897538 (DOI),view,,,,,A
2887,B3,LMB-2,,,SEI10464,FNXF01000019,,view,,,,,N (Rheinheimera pacifica DSM 17616)
2888,B3,LRA2-1,LRA-2,,ACH58985,EU408347,18843302 (DOI),view,,,,,N (uncultured bacterium BLR2)
2889,B3,LRA3-1,LRA-3,,ACH58987,EU408348,18843302 (DOI),view,,,,,N (uncultured bacterium BLR3)
2890,B3,LRA3-2,H33,,AGU01671,KF485392,31487611 (DOI),view,,,,,N (uncultured bacterium)
2891,B3,LRA7-1,LRA-7,,ACH58998,EU408356,18843302 (DOI),view,,,,,N (uncultured bacterium BLR7)
2892,B3,LRA7-2,LRA-9,,ACH58989,EU408350,18843302 (DOI),view,,,,,N (uncultured bacterium BLR9)
2893,B3,LRA8-1,LRA-8,,ACH58988,EU408349,18843302 (DOI) 28749495 (DOI),view,,,,,N (uncultured bacterium BLR8)
2894,B3,LRA8-2,,,AIA12579,KJ693145,24847883 (DOI),view,,,,,N (uncultured bacterium)
2895,B3,LRA12-1,LRA-12,,ACH58990,EU408351,18843302 (DOI),view,1,,,,N (uncultured bacterium BLR12)
2896,B3,LRA17-1,LRA-17,,ACH58994,EU408354,18843302 (DOI),view,,,,,N (uncultured bacterium BLR17)
2897,B3,LRA19-1,LRA-19,,ACH59005,EU408359,18843302 (DOI),view,,,,,N (uncultured bacterium BLR19)
2898,B3,MEMA1-1,,,—,KY705336,28625995 (DOI),view,,,,,N (uncultured bacterium)
2899,B3,MIM-1,,,AIT78529,CP009291,— (DOI) 26775612 (DOI),view,1,,,,N (Novosphingobium pentaromativorans US6-1)
2900,B3,MIM-2,Renamed as SAM-1,,,,,,,,,,
2901,B3,MIM-3,,,CDO37469,CCBH010000171,,view,,,,,N (Novosphingobium sp. KN65.2)
2902,B3,MIM-4,,,WP_051010090,NC_015580,,view,,,,,N (Novosphingobium sp. PP1Y)
2903,B3,MIM-5,,,SLJ90930,FVZE01000001,,view,,,,,N (Novosphingobium mathurense SM117)
2904,B3,MSI-1,,,AJP77057,KP109676,26482314 (DOI),view,,,,,N (Massilia oculi SB1-3)
2905,B3,NWM-1,,,QXM27671,MZ497415,39611581 (DOI),view,,,,carbapenemase,N (Pseudomonas aeruginosa)
2906,B3,PAM-1,,PAM-1-like,BAO01151,AB858498,24356301 (DOI),view,,,,,N (Pseudomonas alcaligenes)
2907,B3,PAM-2,,PAM-2-like,BCG24254,AP023189,35786775 (DOI),view,,,,,N (Pseudomonas tohonis)
2908,B3,PAM-3,,PAM-2-like,GJN50066,BQKL01000042,35786775 (DOI),view,,,,,N (Pseudomonas tohonis)
2909,B3,PAM-4,,,Assigned,,,,,,,,
2910,B3,PAM-5,,PAM-1-like,MBB4819665,JACHKV010000008,,view,,,,,N (Pseudomonas alcaligenes)
2911,B3,PEDO-1,,,AJP77059,KP109677,26482314 (DOI) 28082950 (DOI),view,,,,carbapenemase,N (Pedobacter roseus SI-33)
2912,B3,PEDO-2,,,AJP77071,KP109678,26482314 (DOI),view,,,,,N (Pedobacter borealis ALS-14)
2913,B3,PJM-1,,,WP_213603971,NG_080789,35943258 (DOI),view,,,,,N (Pseudoxanthomonas japonensis)
2914,B3,PJM-2,,,KAF1723741,PDWW01000024,,view,,,,,N (Pseudoxanthomonas japonensis)
2915,B3,PLN-1,,,KIO75746,JXRA01000085,30029312 (DOI),view,,,,,N (Pedobacter lusitanus NL19)
2916,B3,POM-1,,,ABY56045,EU315252,21060106 (DOI),view,,,,,N (Pseudomonas otitidis)
2917,B3,POM-2,,,QCE31564,MK807024,,view,,,,,N (Pseudomonas otitidis)
2918,B3,PNGM-1,,,AWN09461,MF445022,29842976 (DOI),view,8,,,,N (uncultured bacterium)
2919,B3,RM3-1,,,AGU01679,KF485393,27431213 (DOI) 31487611 (DOI),,,,,,N (uncultured bacterium)
2920,B3,SAM-1,,,AFV00127,CP003746,— (DOI) 26775612 (DOI),view,1,,,,N (Simiduia agarivorans SA1 = DSM 21679)
2921,B3,SER-1,,,APY61104,CP019410,32542533 (DOI),view,,,,,N (Salmonella enterica subsp. enterica serovar Hillingdon str. N1529-D3)
2922,B3,SIE-1,,,KEY99315,JDRU02000281,32542533 (DOI) 34310207 (DOI),view,1,,,,N (Sphingomonas sp. BHC-A)
2923,B3,SIQ-1,,,SMF77924,LT840185,32542533 (DOI),view,,,,,N (Allosphingosinicella indica Dd16)
2924,B3,SMB-1,,,BAL14456,AB636283,21876060 (DOI),view,9,,,,A
2925,B3,SPG-1,,,AJP77080,KP109680,26482314 (DOI),view,,,,,N (Sphingomonas sp. ALS-13)
2926,B3,SPR-1,,,ABV42357,CP000826,23982345 (DOI),view,,,,,N (Serratia proteamaculans 568)
2927,B3,SSE-1,,,SBV32245,LT598653,32542533 (DOI),view,,,,,N (uncultured Sphingopyxis sp.)
2928,B3,B3SU1-1,,,QWJ89341,MZ126683,,view,,,,,N (uncultured bacterium)
2929,B3,B3SU2-1,,,QWJ89342,MZ126684,,view,,,,,N (uncultured bacterium)
2930,B3,THIN-B-1,,,CAC33832,AJ250876,11181369 (DOI),,,,,,N (Janthinobacterium lividum)
2931,C,ACC-1,,ACC-1-like,CDI45198 CAB46491,HG530658 AJ133121,10428914 (—),view,7,,1,,A
2932,C,ACC-1a,,ACC-1-like,AAF86692,AF180953,,view,,,1,,N (Hafnia alvei)
2933,C,ACC-1b,,ACC-1-like,AAF86694,AF180955,,view,,,1,,N (Hafnia alvei)
2934,C,ACC-1c,,ACC-1-like,AAF86698,AF180959,,view,,,,,N (Hafnia alvei)
2935,C,ACC-1d,,ACC-1-like,EFV39045,ADCU02000001,,view,,,1,,N (Hafnia alvei)
2936,C,ACC-2,,ACC-1-like,AAF86691,AF180952,10817695 (DOI),view,,,,,N (Hafnia alvei)
2937,C,ACC-3,ACC-P1,,—,—,,,,,,,
2938,C,ACC-4,ACC-6,ACC-1-like,AIT76084,KM087831,17664321 (DOI),view,,,,,A
2939,C,ACC-5,ACC-P2,,—,—,,,,,,,
2940,C,ACC-6,ACC-4,,—,—,,view,,,,,
2941,C,ACC-7,,ACC-1-like,ATJ25947,MG028657,,view,,,,,N (Hafnia alvei N11-01820)
2942,C,ACC-8,,ACC-1-like,QNG62072,MT872413,,view,,,,,A
2943,C,ACC-P1,ACC-3,ACC-3-like,AAF86697,AF180958,10817695 (DOI),view,,,1,,N (Hafnia alvei HA-7)
2944,C,ACC-P2,ACC-5,ACC-1-like,CCK86740,HE819401,24267783 (DOI),view,,,1,,N (Hafnia alvei)
2945,C,ACC-P3,,ACC-3-like,AAF86695,AF180956,,view,,,,,N (Hafnia alvei HA-5)
2946,C,ACT-1,,,AAC45086,U58495,9055993 (DOI) 21873382 (DOI),view,1,,1,,A
2947,C,ACT-2,,,CAJ28994,AM076977,,view,,,1,,N (Enterobacter asburiae)
2948,C,ACT-3,,,ABL67017,EF125013,18789849 (DOI),view,,,1,,A
2949,C,ACT-4,,,ABZ81086,EU427302,,view,,,1,,N (Enterobacter asburiae)
2950,C,ACT-5,,,ACJ05689,FJ237369,,view,,,1,,A
